"roi","ROI","coeff_distance","p_value_distance"
111,"L_AVI_ROI",0.0192931735821397,0.455272363818091
112,"L_AAIC_ROI",0.0144921077547326,0.920039980009995
113,"L_FOP1_ROI",0.0198859208586826,0.445777111444278
114,"L_FOP3_ROI",0.0442315517687939,0.00149925037481259
115,"L_FOP2_ROI",0.0185054512575819,0.544227886056971
116,"L_PFt_ROI",0.0281552825014237,0.0649675162418791
117,"L_AIP_ROI",0.0204351745821337,0.391304347826087
118,"L_EC_ROI",0.0182658771124038,0.560219890054973
119,"L_PreS_ROI",0.0237995165998888,0.187906046976512
120,"L_H_ROI",0.0235947624766997,0.180909545227386
121,"L_ProS_ROI",0.0225637419834546,0.23688155922039
122,"L_PeEc_ROI",0.0157589724376229,0.810594702648676
123,"L_STGa_ROI",0.0224867815186534,0.204897551224388
124,"L_PBelt_ROI",0.0303215437501331,0.0399800099950025
125,"L_A5_ROI",0.0209629670510061,0.293353323338331
126,"L_PHA1_ROI",0.0254812720945078,0.12743628185907
127,"L_PHA3_ROI",0.0142716763581895,0.924037981009495
128,"L_STSda_ROI",0.0245257710079459,0.135932033983008
129,"L_STSdp_ROI",0.0273973647086347,0.0779610194902549
130,"L_STSvp_ROI",0.0218012417983771,0.28735632183908
131,"L_TGd_ROI",0.0180773209146921,0.537731134432784
132,"L_TE1a_ROI",0.026200444828709,0.0889555222388806
133,"L_TE1p_ROI",0.020128188495279,0.379810094952524
134,"L_TE2a_ROI",0.0170988212994743,0.663668165917041
135,"L_TF_ROI",0.0249798563798486,0.12343828085957
136,"L_TE2p_ROI",0.0280212551648263,0.0609695152423788
137,"L_PHT_ROI",0.0159618800008377,0.807096451774113
138,"L_PH_ROI",0.02412012789268,0.16191904047976
139,"L_TPOJ1_ROI",0.0153658180169429,0.840579710144927
140,"L_TPOJ2_ROI",0.0386537605545122,0.00349825087456272
141,"L_TPOJ3_ROI",0.0260144802695782,0.108445777111444
142,"L_DVT_ROI",0.019141800317929,0.47576211894053
143,"L_PGp_ROI",0.0245484104275394,0.152923538230885
144,"L_IP2_ROI",0.0192888381559985,0.458770614692654
145,"L_IP1_ROI",0.0317670643896681,0.0249875062468766
146,"L_IP0_ROI",0.0261630055850532,0.0999500249875062
147,"L_PFop_ROI",0.026871309608732,0.0849575212393803
148,"L_PF_ROI",0.0178603267396193,0.621689155422289
149,"L_PFm_ROI",0.0253451090016329,0.123938030984508
150,"L_PGi_ROI",0.0180891915256437,0.603698150924538
151,"L_PGs_ROI",0.028884391669959,0.056471764117941
152,"L_V6A_ROI",0.0202429504467577,0.396301849075462
153,"L_VMV1_ROI",0.0188732214307982,0.540729635182409
154,"L_VMV3_ROI",0.0306405785211518,0.0359820089955022
155,"L_PHA2_ROI",0.0172566479264954,0.659670164917541
156,"L_V4t_ROI",0.0147844891851942,0.897051474262869
157,"L_FST_ROI",0.017080023659384,0.691154422788606
158,"L_V3CD_ROI",0.0244455182150015,0.145927036481759
159,"L_LO3_ROI",0.0200947671212687,0.389805097451274
160,"L_VMV2_ROI",0.0207889681037736,0.339830084957521
161,"L_31pd_ROI",0.0156937632584138,0.83208395802099
162,"L_31a_ROI",0.0237044761047776,0.179910044977511
163,"L_VVC_ROI",0.0157073882317657,0.828585707146427
164,"L_25_ROI",0.0224109892556758,0.231884057971014
165,"L_s32_ROI",0.0212225468095579,0.317341329335332
166,"L_pOFC_ROI",0.0191767823471916,0.474262868565717
167,"L_PoI1_ROI",0.0240953922349924,0.15392303848076
168,"L_Ig_ROI",0.018394656605148,0.548225887056472
169,"L_FOP5_ROI",0.0182547604619531,0.546226886556722
170,"L_p10p_ROI",0.0165159309396827,0.71864067966017
171,"L_p47r_ROI",0.0177014005252577,0.611194402798601
172,"L_TGv_ROI",0.0200680617353694,0.397801099450275
173,"L_MBelt_ROI",0.0260782235354976,0.107446276861569
174,"L_LBelt_ROI",0.01570339562188,0.804597701149425
175,"L_A4_ROI",0.0213244034865347,0.292353823088456
176,"L_STSva_ROI",0.02176439015028,0.250374812593703
177,"L_TE1m_ROI",0.01973715996354,0.397801099450275
178,"L_PI_ROI",0.0292861718981919,0.0604697651174413
179,"L_a32pr_ROI",0.0272731979540543,0.0754622688655672
180,"L_p24_ROI",0.0272966616772099,0.0804597701149425
181,"R_V1_ROI",0.0191097066351325,0.491254372813593
182,"R_MST_ROI",0.0311088852385879,0.0409795102448776
183,"R_V6_ROI",0.0207306459333494,0.372813593203398
184,"R_V2_ROI",0.024508102650757,0.159420289855072
185,"R_V3_ROI",0.030010548054208,0.0429785107446277
186,"R_V4_ROI",0.0259519652501384,0.103448275862069
187,"R_V8_ROI",0.0168046638377336,0.71864067966017
188,"R_4_ROI",0.0369847070387354,0.00599700149925037
189,"R_3b_ROI",0.0368137633429995,0.0079960019990005
190,"R_FEF_ROI",0.0263829252631672,0.0919540229885057
191,"R_PEF_ROI",0.01810775754327,0.558220889555222
192,"R_55b_ROI",0.0186572420865436,0.519740129935032
193,"R_V3A_ROI",0.0227388285998046,0.254372813593203
194,"R_RSC_ROI",0.0150475180749568,0.878060969515242
195,"R_POS2_ROI",0.0182449012473394,0.559220389805097
196,"R_V7_ROI",0.0166144926757798,0.75712143928036
197,"R_IPS1_ROI",0.0294799063381529,0.0519740129935032
198,"R_FFC_ROI",0.0214705354435197,0.32383808095952
199,"R_V3B_ROI",0.0191792647751476,0.478260869565217
200,"R_LO1_ROI",0.0262391787802601,0.0899550224887556
