"roi","ROI","coeff_distance","p_value_distance"
174,"L_LBelt_ROI",0.01570339562188,0.815918408159184
175,"L_A4_ROI",0.0213244034865347,0.27957204279572
176,"L_STSva_ROI",0.02176439015028,0.264973502649735
177,"L_TE1m_ROI",0.01973715996354,0.403559644035596
178,"L_PI_ROI",0.0292861718981919,0.0495950404959504
179,"L_a32pr_ROI",0.0272731979540543,0.0795920407959204
180,"L_p24_ROI",0.0272966616772099,0.0758924107589241
181,"R_V1_ROI",0.0191097066351325,0.48955104489551
182,"R_MST_ROI",0.0311088852385879,0.0287971202879712
183,"R_V6_ROI",0.0207306459333494,0.381261873812619
184,"R_V2_ROI",0.024508102650757,0.154784521547845
185,"R_V3_ROI",0.030010548054208,0.0407959204079592
186,"R_V4_ROI",0.0259519652501384,0.100689931006899
187,"R_V8_ROI",0.0168046638377336,0.716428357164284
188,"R_4_ROI",0.0369847070387354,0.0057994200579942
189,"R_3b_ROI",0.0368137633429995,0.0054994500549945
190,"R_FEF_ROI",0.0263829252631672,0.0901909809019098
191,"R_PEF_ROI",0.01810775754327,0.572942705729427
192,"R_55b_ROI",0.0186572420865436,0.527747225277472
193,"R_V3A_ROI",0.0227388285998046,0.24047595240476
194,"R_RSC_ROI",0.0150475180749568,0.881011898810119
195,"R_POS2_ROI",0.0182449012473394,0.563043695630437
196,"R_V7_ROI",0.0166144926757798,0.75952404759524
197,"R_IPS1_ROI",0.0294799063381529,0.0452954704529547
198,"R_FFC_ROI",0.0214705354435197,0.306969303069693
199,"R_V3B_ROI",0.0191792647751476,0.486651334866513
200,"R_LO1_ROI",0.0262391787802601,0.101189881011899
201,"R_LO2_ROI",0.0154740647763365,0.865713428657134
202,"R_PIT_ROI",0.0191884003991953,0.511048895110489
203,"R_MT_ROI",0.0207267311578914,0.337666233376662
204,"R_A1_ROI",0.0225472177766098,0.226777322267773
205,"R_PSL_ROI",0.0207966938987588,0.347365263473653
206,"R_SFL_ROI",0.018705900753735,0.522847715228477
207,"R_PCV_ROI",0.0198662203748977,0.406359364063594
208,"R_STV_ROI",0.0192705413994412,0.459054094590541
209,"R_7Pm_ROI",0.0144600056522153,0.927907209279072
210,"R_7m_ROI",0.0291250229803331,0.0548945105489451
211,"R_POS1_ROI",0.018151622457824,0.554044595540446
212,"R_23d_ROI",0.0206445299988291,0.35956404359564
213,"R_v23ab_ROI",0.0169295793156806,0.693030696930307
214,"R_d23ab_ROI",0.0187790542854276,0.507949205079492
215,"R_31pv_ROI",0.0399222869702764,0.0018998100189981
216,"R_5m_ROI",0.0371395768936832,0.0053994600539946
217,"R_5mv_ROI",0.0315051638343604,0.0306969303069693
218,"R_23c_ROI",0.0218472879112473,0.271872812718728
219,"R_5L_ROI",0.0193852313048889,0.476552344765523
220,"R_24dd_ROI",0.0398040263625852,0.0025997400259974
221,"R_24dv_ROI",0.0229793456336849,0.211178882111789
222,"R_7AL_ROI",0.0223730949517777,0.253574642535746
223,"R_SCEF_ROI",0.0382641749910688,0.0035996400359964
224,"R_6ma_ROI",0.0182359372177794,0.556244375562444
225,"R_7Am_ROI",0.0272042230214852,0.0834916508349165
226,"R_7PL_ROI",0.0161057307026259,0.786121387861214
227,"R_7PC_ROI",0.0210587295741795,0.327067293270673
228,"R_LIPv_ROI",0.0359981928141379,0.0078992100789921
229,"R_VIP_ROI",0.0336243310504009,0.0132986701329867
230,"R_MIP_ROI",0.0310523604854397,0.0297970202979702
231,"R_1_ROI",0.0141047616114818,0.944105589441056
232,"R_2_ROI",0.0201119222555713,0.393660633936606
233,"R_3a_ROI",0.0313072944000536,0.0306969303069693
234,"R_6d_ROI",0.0275440124274809,0.0738926107389261
235,"R_6mp_ROI",0.0195036346794172,0.456354364563544
236,"R_6v_ROI",0.0160301593426292,0.805119488051195
237,"R_p24pr_ROI",0.0163622618002961,0.755024497550245
238,"R_33pr_ROI",0.013742108527982,0.957104289571043
