"roi","ROI","coeff_distance","p_value_distance"
"roi327","R_PFop_ROI",0.0192641580785532,0.595404595404595
"roi328","R_PF_ROI",0.0188051139099173,0.65034965034965
"roi329","R_PFm_ROI",0.0269578177112573,0.134865134865135
"roi330","R_PGi_ROI",0.0301183463756461,0.0679320679320679
"roi331","R_PGs_ROI",0.0249393024213116,0.192807192807193
"roi332","R_V6A_ROI",0.0220833271391783,0.363636363636364
"roi333","R_VMV1_ROI",0.0187120456024732,0.637362637362637
"roi334","R_VMV3_ROI",0.0226488336262492,0.317682317682318
"roi335","R_PHA2_ROI",0.026682451803154,0.157842157842158
"roi336","R_V4t_ROI",0.0252640535940213,0.201798201798202
"roi337","R_FST_ROI",0.026072293267263,0.162837162837163
"roi338","R_V3CD_ROI",0.0254308133929755,0.167832167832168
"roi339","R_LO3_ROI",0.0193787208724982,0.607392607392607
"roi340","R_VMV2_ROI",0.0148634405532039,0.958041958041958
"roi341","R_31pd_ROI",0.0261363589051182,0.156843156843157
"roi342","R_31a_ROI",0.0332010951741009,0.02997002997003
"roi343","R_VVC_ROI",0.0162315800296675,0.858141858141858
"roi344","R_25_ROI",0.024812825043459,0.193806193806194
"roi345","R_s32_ROI",0.0128085893555913,0.996003996003996
"roi346","R_pOFC_ROI",0.0346084426573174,0.026973026973027
"roi347","R_PoI1_ROI",0.033931836511934,0.036963036963037
"roi348","R_Ig_ROI",0.0220714023343864,0.336663336663337
"roi349","R_FOP5_ROI",0.0257758996888478,0.177822177822178
"roi350","R_p10p_ROI",0.0371362755015665,0.00899100899100899
"roi351","R_p47r_ROI",0.017475415045228,0.762237762237762
"roi352","R_TGv_ROI",0.0272117373653386,0.120879120879121
"roi353","R_MBelt_ROI",0.030359274414511,0.044955044955045
"roi354","R_LBelt_ROI",0.0290070816173061,0.0849150849150849
"roi355","R_A4_ROI",0.0310053834874811,0.044955044955045
"roi356","R_STSva_ROI",0.0315765208754391,0.040959040959041
"roi357","R_TE1m_ROI",0.0311957975107543,0.0549450549450549
"roi358","R_PI_ROI",0.0292786105725633,0.0729270729270729
"roi359","R_a32pr_ROI",0.0186859010827266,0.637362637362637
"roi360","R_p24_ROI",0.0222419184582204,0.338661338661339
"roi361","accumbens_left",0.0225535586036998,0.302697302697303
"roi362","accumbens_right",0.0186826243561007,0.649350649350649
"roi363","amygdala_left",0.0144104479417718,0.969030969030969
"roi364","amygdala_right",0.0246144632969787,0.20979020979021
"roi365","caudate_left",0.014030198449837,0.983016983016983
"roi366","caudate_right",0.020904526267195,0.43956043956044
"roi367","cerebellum_left",0.026673524872956,0.140859140859141
"roi368","cerebellum_right",0.0363141035119426,0.010989010989011
"roi369","diencephalon_left",0.0310016760418148,0.0629370629370629
"roi370","diencephalon_right",0.0233188279723929,0.234765234765235
"roi371","hippocampus_left",0.0288024358477132,0.0839160839160839
"roi372","hippocampus_right",0.0364917772011499,0.012987012987013
"roi373","pallidum_left",0.0177775879241692,0.729270729270729
"roi374","pallidum_right",0.0203944637612297,0.478521478521479
"roi375","putamen_left",0.0172495000140833,0.728271728271728
"roi376","putamen_right",0.0170779967527836,0.749250749250749
"roi377","thalamus_left",0.0182500497684368,0.679320679320679
"roi378","thalamus_right",0.0133623083405563,0.982017982017982
"roi379","brainstem",0.0297081405675416,0.0689310689310689
